NODE_605_length_2200_cov_2.858741_3	Pfam,Pfam,TIGRFAM,Hamap	PF00333,PF03719,TIGR01021,MF_01307_B	IPR013810,IPR005324,IPR005712	Ribosomal protein S5, N-terminal domain,Ribosomal protein S5, C-terminal domain,rpsE_bact: ribosomal protein uS5,30S ribosomal protein S5 [rpsE].	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	"NA"
NODE_6459_length_278_cov_1.591928_1	Pfam	PF06782	IPR009620	Uncharacterised protein family (UPF0236)	"NA"	"NA"
NODE_646_length_2095_cov_3.576471_1	Pfam	PF04350	IPR007445	Pilus assembly protein, PilO	"NA"	"NA"
NODE_646_length_2095_cov_3.576471_2	Pfam	PF05137	IPR007813	Fimbrial assembly protein (PilN)	"NA"	"NA"
NODE_646_length_2095_cov_3.576471_3	TIGRFAM,Pfam	TIGR01175,PF11104	IPR005883	pilM: type IV pilus assembly protein PilM,Type IV pilus assembly protein PilM	"NA"	"NA"
NODE_6460_length_278_cov_1.587444_1	Pfam	PF06838	IPR009651	Methionine gamma-lyase	"NA"	"NA"
NODE_6462_length_278_cov_1.412556_1	Pfam,Pfam	PF09373,PF09373	IPR018975	Pseudomurein-binding repeat,Pseudomurein-binding repeat	"NA"	"NA"
NODE_6465_length_278_cov_1.273543_1	Pfam	PF03480	IPR018389	Bacterial extracellular solute-binding protein, family 7	GO:0006810,GO:0030288	"NA"
NODE_6469_length_278_cov_1.269058_1	Pfam	PF00773	"NA"	RNB domain	"NA"	"NA"
NODE_647_length_2093_cov_2.162905_1	Pfam	PF07760	IPR011674	Protein of unknown function (DUF1616)	"NA"	"NA"
NODE_647_length_2093_cov_2.162905_2	Pfam	PF02517	IPR003675	CAAX protease self-immunity	GO:0016020	"NA"
NODE_647_length_2093_cov_2.162905_3	Pfam	PF05834	"NA"	Lycopene cyclase protein	"NA"	"NA"
NODE_647_length_2093_cov_2.162905_4	Pfam	PF01494	IPR002938	FAD binding domain	GO:0071949	"NA"
NODE_6471_length_278_cov_1.264574_1	Pfam	PF12831	IPR023753	FAD dependent oxidoreductase	GO:0016491,GO:0055114	"NA"
NODE_6472_length_278_cov_1.255605_1	Pfam	PF02421	IPR030389	Ferrous iron transport protein B	GO:0005525	"NA"
NODE_6474_length_278_cov_1.206278_1	Pfam	PF00664	IPR011527	ABC transporter transmembrane region	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085	"NA"
NODE_6475_length_278_cov_1.197309_1	Pfam	PF01312	IPR006135	FlhB HrpN YscU SpaS Family	GO:0009306,GO:0016020	"NA"
NODE_6476_length_278_cov_1.197309_1	Pfam	PF00885	IPR002180	6,7-dimethyl-8-ribityllumazine synthase	GO:0009231,GO:0009349	KEGG:00740+2.5.1.78
NODE_648_length_2093_cov_2.075074_1	Pfam	PF01327	IPR023635	Polypeptide deformylase	"NA"	"NA"
NODE_648_length_2093_cov_2.075074_2	CDD,Pfam,Hamap,CDD,TIGRFAM,Pfam	cd08704,PF02911,MF_00182,cd08646,TIGR00460,PF00551	IPR005793,IPR005794,IPR002376	Met_tRNA_FMT_C,Formyl transferase, C-terminal domain,Methionyl-tRNA formyltransferase [fmt].,FMT_core_Met-tRNA-FMT_N,fmt: methionyl-tRNA formyltransferase,Formyl transferase	GO:0009058,GO:0016742,GO:0004479,GO:0071951	KEGG:00670+2.1.2.9,KEGG:00970+2.1.2.9
NODE_648_length_2093_cov_2.075074_3	Pfam,Pfam	PF01029,PF01976	IPR006027,IPR002829	NusB family,Protein of unknown function DUF116	GO:0003723,GO:0006355	"NA"
NODE_6480_length_278_cov_0.955157_1	Pfam	PF16363	IPR016040	GDP-mannose 4,6 dehydratase	"NA"	"NA"
NODE_6481_length_278_cov_0.955157_1	Pfam	PF00696	IPR001048	Amino acid kinase family	"NA"	"NA"
NODE_6489_length_277_cov_12.828829_1	Pfam,TIGRFAM	PF07963,TIGR02532	IPR012902	Prokaryotic N-terminal methylation motif,IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain	"NA"	"NA"
NODE_649_length_2093_cov_1.942100_1	CDD,Pfam	cd16432,PF01339	IPR000673	CheB_Rec,CheB methylesterase	GO:0000156,GO:0000160,GO:0005737,GO:0006935,GO:0008984	"NA"
NODE_6491_length_277_cov_2.234234_1	Pfam,CDD	PF00398,cd02440	IPR001737	Ribosomal RNA adenine dimethylase,AdoMet_MTases	"NA"	"NA"
NODE_6494_length_277_cov_1.882883_1	Hamap,Pfam	MF_00011,PF00709	IPR001114	Adenylosuccinate synthetase [purA].,Adenylosuccinate synthetase	GO:0004019,GO:0005525,GO:0006164	KEGG:00230+6.3.4.4,KEGG:00250+6.3.4.4
NODE_6496_length_277_cov_1.599099_1	CDD,Pfam	cd06267,PF13377	"NA"	PBP1_LacI_sugar_binding_like,Periplasmic binding protein-like domain	"NA"	"NA"
NODE_6498_length_277_cov_1.279279_1	Pfam	PF12833	IPR018060	Helix-turn-helix domain	GO:0003700,GO:0006355,GO:0043565	"NA"
NODE_65_length_38051_cov_460.427098_1	Pfam,Pfam,Pfam,Pfam,CDD	PF01595,PF03471,PF00571,PF00571,cd04590	IPR002550,IPR005170,IPR000644	Domain of unknown function DUF21,Transporter associated domain,CBS domain,CBS domain,CBS_pair_CorC_HlyC_assoc	"NA"	"NA"
NODE_65_length_38051_cov_460.427098_10	Pfam,Pfam,CDD,Pfam	PF00404,PF00404,cd14256,PF03629	IPR002105,IPR005181	Dockerin type I repeat,Dockerin type I repeat,Dockerin_I,Carbohydrate esterase, sialic acid-specific acetylesterase	GO:0000272,GO:0004553	"NA"
NODE_65_length_38051_cov_460.427098_11	CDD,Pfam,Hamap,TIGRFAM	cd00773,PF13393,MF_00125,TIGR00443	IPR004517	HisRS-like_core,Histidyl-tRNA synthetase,ATP phosphoribosyltransferase regulatory subunit [hisZ].,hisZ_biosyn_reg: ATP phosphoribosyltransferase, regulatory subunit	GO:0000105,GO:0005737	"NA"
NODE_65_length_38051_cov_460.427098_12	TIGRFAM,Hamap,CDD,Pfam	TIGR00070,MF_01018,cd13595,PF01634	IPR013820,IPR024893	hisG: ATP phosphoribosyltransferase,ATP phosphoribosyltransferase [hisG].,PBP2_HisGs,ATP phosphoribosyltransferase	GO:0000105,GO:0003879,GO:0005737	KEGG:00340+2.4.2.17
NODE_65_length_38051_cov_460.427098_13	Pfam,Hamap,CDD,TIGRFAM	PF00815,MF_01024,cd06572,TIGR00069	IPR012131	Histidinol dehydrogenase,Histidinol dehydrogenase [hisD].,Histidinol_dh,hisD: histidinol dehydrogenase	GO:0000105,GO:0004399,GO:0008270,GO:0051287,GO:0055114	KEGG:00340+1.1.1.23
NODE_65_length_38051_cov_460.427098_14	CDD,Pfam,Hamap,TIGRFAM	cd00609,PF00155,MF_01023,TIGR01141	IPR004839,IPR005861	AAT_like,Aminotransferase class I and II,Histidinol-phosphate aminotransferase [hisC].,hisC: histidinol-phosphate transaminase	GO:0009058,GO:0030170,GO:0000105,GO:0004400	KEGG:00340+2.6.1.9,KEGG:00350+2.6.1.9,KEGG:00360+2.6.1.9,KEGG:00400+2.6.1.9,KEGG:00401+2.6.1.9,KEGG:00960+2.6.1.9
NODE_65_length_38051_cov_460.427098_15	Hamap,Pfam,CDD	MF_00076,PF00475,cd07914	IPR000807	Imidazoleglycerol-phosphate dehydratase [hisB].,Imidazoleglycerol-phosphate dehydratase,IGPD	GO:0000105,GO:0004424	KEGG:00340+4.2.1.19
NODE_65_length_38051_cov_460.427098_16	TIGRFAM,CDD,Pfam,Hamap	TIGR00081,cd01414,PF01259,MF_00137	IPR001636,IPR028923	purC: phosphoribosylaminoimidazolesuccinocarboxamide synthase,SAICAR_synt_Sc,SAICAR synthetase,Phosphoribosylaminoimidazole-succinocarboxamide synthase [purC].	GO:0004639,GO:0006164	KEGG:00230+6.3.2.6
NODE_65_length_38051_cov_460.427098_17	CDD,TIGRFAM,Hamap,Pfam	cd01748,TIGR01855,MF_00278,PF00117	IPR010139,IPR017926	GATase1_IGP_Synthase,IMP_synth_hisH: imidazole glycerol phosphate synthase, glutamine amidotransferase subunit,Imidazole glycerol phosphate synthase subunit HisH [hisH].,Glutamine amidotransferase class-I	GO:0000105,GO:0005737,GO:0016763	"NA"
NODE_65_length_38051_cov_460.427098_18	TIGRFAM,Pfam,CDD,Hamap	TIGR00007,PF00977,cd04732,MF_01014	IPR006063,IPR006062,IPR023016	TIGR00007: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,Histidine biosynthesis protein,HisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [hisA].	GO:0000105,GO:0003949	KEGG:00340+5.3.1.16
NODE_65_length_38051_cov_460.427098_19	Pfam,Hamap,CDD,TIGRFAM	PF00977,MF_01013,cd04731,TIGR00735	IPR006062,IPR004651	Histidine biosynthesis protein,Imidazole glycerol phosphate synthase subunit HisF [hisF].,HisF,hisF: imidazoleglycerol phosphate synthase, cyclase subunit	GO:0000105,GO:0000107,GO:0005737	"NA"
NODE_65_length_38051_cov_460.427098_2	Pfam	PF07739	IPR012925	TipAS antibiotic-recognition domain	"NA"	"NA"
NODE_65_length_38051_cov_460.427098_20	Hamap,Hamap,TIGRFAM,Hamap,Pfam,CDD,Pfam	MF_01021,MF_01019,TIGR03188,MF_01020,PF01502,cd11534,PF01503	IPR026660,IPR023019,IPR008179,IPR002496,IPR021130	Phosphoribosyl-AMP cyclohydrolase [hisI].,Histidine biosynthesis bifunctional protein HisIE [hisI].,histidine_hisI: phosphoribosyl-ATP diphosphatase,Phosphoribosyl-ATP pyrophosphatase [hisE].,Phosphoribosyl-AMP cyclohydrolase,NTP-PPase_HisIE_like,Phosphoribosyl-ATP pyrophosphohydrolase	GO:0000105,GO:0004635,GO:0004636	KEGG:00340+3.5.4.19,KEGG:00340+3.6.1.31+3.5.4.19,KEGG:00340+3.6.1.31
NODE_65_length_38051_cov_460.427098_21	Pfam	PF04326	IPR007421	Putative DNA-binding domain	GO:0005524	"NA"
NODE_65_length_38051_cov_460.427098_22	Hamap,CDD,Pfam	MF_00580,cd00320,PF00166	IPR020818	10 kDa chaperonin [groS].,cpn10,Chaperonin 10 Kd subunit	GO:0005737,GO:0006457	"NA"
NODE_65_length_38051_cov_460.427098_23	Hamap,Pfam,TIGRFAM,CDD	MF_00600,PF00118,TIGR02348,cd03344	IPR001844,IPR002423	60 kDa chaperonin [groL].,TCP-1/cpn60 chaperonin family,GroEL: chaperonin GroL,GroEL	GO:0005737,GO:0042026,GO:0005524	"NA"
NODE_65_length_38051_cov_460.427098_24	Pfam	PF07238	IPR009875	PilZ domain	GO:0035438	"NA"
NODE_65_length_38051_cov_460.427098_26	Pfam,Pfam,CDD	PF00704,PF07833,cd02874	IPR001223,IPR012854	Glycosyl hydrolases family 18,Copper amine oxidase N-terminal domain,GH18_CFLE_spore_hydrolase	GO:0005975	"NA"
NODE_65_length_38051_cov_460.427098_28	Pfam,Pfam,Hamap,TIGRFAM	PF03449,PF01272,MF_00105,TIGR01462	IPR022691,IPR001437,IPR028624,IPR006359	Transcription elongation factor, N-terminal,Transcription elongation factor, GreA/GreB, C-term,Transcription elongation factor GreA [greA].,greA: transcription elongation factor GreA	GO:0003677,GO:0032784,GO:0070063	"NA"
NODE_65_length_38051_cov_460.427098_29	CDD,TIGRFAM,Pfam	cd07043,TIGR00377,PF01740	IPR003658,IPR002645	STAS_anti-anti-sigma_factors,ant_ant_sig: anti-anti-sigma factor,STAS domain	GO:0006355,GO:0045152	"NA"
NODE_65_length_38051_cov_460.427098_3	CDD,Pfam,Pfam,Pfam	cd14256,PF00404,PF00404,PF00150	IPR002105,IPR001547	Dockerin_I,Dockerin type I repeat,Dockerin type I repeat,Cellulase (glycosyl hydrolase family 5)	GO:0000272,GO:0004553,GO:0005975	"NA"
NODE_65_length_38051_cov_460.427098_30	Pfam	PF13581	IPR003594	Histidine kinase-like ATPase domain	"NA"	"NA"
NODE_65_length_38051_cov_460.427098_31	CDD,Pfam,TIGRFAM,TIGRFAM,Pfam,Pfam	cd06171,PF04545,TIGR02980,TIGR02937,PF04542,PF04539	IPR007630,IPR014322,IPR014284,IPR007627,IPR007624	Sigma70_r4,Sigma-70, region 4,SigBFG: RNA polymerase sigma-70 factor, sigma-B/F/G subfamily,sigma70-ECF: RNA polymerase sigma factor, sigma-70 family,Sigma-70 region 2,Sigma-70 region 3	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987	"NA"
NODE_65_length_38051_cov_460.427098_32	Pfam,CDD	PF13581,cd00075	IPR003594	Histidine kinase-like ATPase domain,HATPase_c	"NA"	"NA"
NODE_65_length_38051_cov_460.427098_4	Pfam	PF12158	IPR021994	Protein of unknown function (DUF3592)	"NA"	"NA"
NODE_65_length_38051_cov_460.427098_5	Pfam,CDD,Pfam,Hamap	PF00821,cd00819,PF17297,MF_00452	IPR035077,IPR008209,IPR035078	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain,PEPCK_GTP,Phosphoenolpyruvate carboxykinase N-terminal domain,Phosphoenolpyruvate carboxykinase [GTP] [pckG].	GO:0004611,GO:0006094,GO:0005525	KEGG:00010+4.1.1.32,KEGG:00020+4.1.1.32,KEGG:00620+4.1.1.32
NODE_65_length_38051_cov_460.427098_6	Hamap,Pfam,CDD,Pfam,TIGRFAM	MF_00839,PF02482,cd00552,PF16321,TIGR00741	IPR034694,IPR003489,IPR032528	Ribosome hibernation promoting factor [hpf].,Sigma 54 modulation protein / S30EA ribosomal protein,RaiA,Sigma 54 modulation/S30EA ribosomal protein C terminus,yfiA: ribosomal subunit interface protein	GO:0044238	"NA"
NODE_65_length_38051_cov_460.427098_7	Pfam,Pfam,TIGRFAM	PF13361,PF00580,TIGR01073	IPR014017,IPR034739,IPR005751	UvrD-like helicase C-terminal domain,UvrD/REP helicase N-terminal domain,pcrA: ATP-dependent DNA helicase PcrA	GO:0005524,GO:0016787,GO:0004003,GO:0005737,GO:0006268	"NA"
NODE_65_length_38051_cov_460.427098_8	Pfam,Pfam,Pfam,Pfam,Pfam,Pfam	PF00395,PF00395,PF00395,PF12690,PF12690,PF12690	IPR001119,IPR020481	S-layer homology domain,S-layer homology domain,S-layer homology domain,Intracellular proteinase inhibitor,Intracellular proteinase inhibitor,Intracellular proteinase inhibitor	"NA"	"NA"
NODE_65_length_38051_cov_460.427098_9	Pfam,CDD	PF03412,cd02423	IPR005074	Peptidase C39 family,Peptidase_C39G	GO:0005524,GO:0006508,GO:0008233,GO:0016021	"NA"
NODE_650_length_2090_cov_2.954300_1	Pfam	PF01522	IPR002509	Polysaccharide deacetylase	GO:0005975,GO:0016810	"NA"
NODE_650_length_2090_cov_2.954300_2	Pfam	PF04456	IPR007546	Protein of unknown function (DUF503)	"NA"	"NA"
NODE_650_length_2090_cov_2.954300_3	Pfam,TIGRFAM,CDD	PF00528,TIGR01726,cd06261	IPR000515,IPR010065	Binding-protein-dependent transport system inner membrane component,HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family,TM_PBP2	GO:0006810,GO:0016020,GO:0005215,GO:0016021	"NA"
NODE_6500_length_277_cov_1.270270_1	Pfam	PF01208	IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853,GO:0006779	KEGG:00860+4.1.1.37
NODE_6501_length_277_cov_1.270270_1	Pfam	PF13537	IPR017932	Glutamine amidotransferase domain	"NA"	"NA"
NODE_6502_length_277_cov_1.270270_1	Pfam	PF01906	IPR002765	Putative heavy-metal-binding	"NA"	"NA"
NODE_6505_length_277_cov_1.238739_1	Pfam	PF06245	IPR008323	Protein of unknown function (DUF1015)	"NA"	"NA"
NODE_6506_length_277_cov_1.225225_1	CDD,Pfam	cd07034,PF01855	IPR002880	TPP_PYR_PFOR_IOR-alpha_like,Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg	GO:0016491,GO:0055114	"NA"
NODE_6508_length_277_cov_1.189189_1	Pfam	PF00380	IPR000754	Ribosomal protein S9/S16	GO:0003735,GO:0005840,GO:0006412	"NA"
NODE_6509_length_277_cov_0.959459_1	Pfam	PF12611	IPR013367	Putative flagellar	"NA"	"NA"
NODE_651_length_2088_cov_8.079685_1	Pfam	PF14574	IPR027980	Domain of unknown function (DUF4445)	"NA"	"NA"
NODE_651_length_2088_cov_8.079685_2	Pfam	PF01208	IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853,GO:0006779	KEGG:00860+4.1.1.37
NODE_6510_length_277_cov_0.959459_1	Pfam	PF00155	IPR004839	Aminotransferase class I and II	GO:0009058,GO:0030170	"NA"
NODE_6515_length_277_cov_0.873874_1	Pfam	PF03477	IPR005144	ATP cone domain	"NA"	"NA"
NODE_6516_length_276_cov_46.868778_1	Pfam,TIGRFAM	PF03816,TIGR00350	IPR004474	Cell envelope-related transcriptional attenuator domain,lytR_cpsA_psr: cell envelope-related function transcriptional attenuator common domain	"NA"	"NA"
NODE_6517_length_276_cov_33.398190_1	Pfam	PF02690	IPR003841	Na+/Pi-cotransporter	GO:0015321,GO:0016020,GO:0044341	"NA"
NODE_6519_length_276_cov_2.244344_1	Pfam	PF12911	IPR025966	N-terminal TM domain of oligopeptide transport permease C	"NA"	"NA"
NODE_652_length_2087_cov_4.111220_1	Pfam,CDD	PF06406,cd10227	IPR009440	StbA protein,ParM_like	"NA"	"NA"
NODE_6525_length_276_cov_1.285068_1	Pfam	PF01475	IPR002481	Ferric uptake regulator family	GO:0003700,GO:0006355	"NA"
NODE_6526_length_276_cov_1.285068_1	Pfam	PF16363	IPR016040	GDP-mannose 4,6 dehydratase	"NA"	"NA"
NODE_6528_length_276_cov_1.176471_1	Pfam	PF03063	IPR004137	Prismane/CO dehydrogenase family	GO:0016491,GO:0055114	KEGG:00910+1.7.99.1
NODE_6529_length_276_cov_0.963801_1	CDD,Pfam	cd00156,PF00072	IPR001789	REC,Response regulator receiver domain	GO:0000160	"NA"
NODE_653_length_2086_cov_307.621369_1	Pfam,Pfam,CDD	PF00682,PF02436,cd07937	IPR000891,IPR003379	HMGL-like,Conserved carboxylase domain,DRE_TIM_PC_TC_5S	GO:0003824	"NA"
NODE_653_length_2086_cov_307.621369_2	Pfam,CDD	PF01381,cd00093	IPR001387	Helix-turn-helix,HTH_XRE	GO:0043565	"NA"
NODE_6532_length_276_cov_0.963801_1	Pfam,CDD	PF01520,cd02696	IPR002508	N-acetylmuramoyl-L-alanine amidase,MurNAc-LAA	GO:0008745,GO:0009253	"NA"
NODE_6533_length_276_cov_0.959276_1	Pfam,TIGRFAM	PF12836,TIGR00426	IPR004509	Helix-hairpin-helix motif,TIGR00426: competence protein ComEA helix-hairpin-helix repeat region	"NA"	"NA"
NODE_6534_length_276_cov_0.959276_1	Pfam	PF00579	IPR002305	tRNA synthetases class I (W and Y)	GO:0000166,GO:0004812,GO:0005524,GO:0006418	"NA"
NODE_6537_length_275_cov_2.700000_1	Pfam	PF03447	IPR005106	Homoserine dehydrogenase, NAD binding domain	GO:0016491,GO:0050661,GO:0055114	"NA"
NODE_654_length_2085_cov_2.394581_1	Pfam	PF04290	IPR007387	Tripartite ATP-independent periplasmic transporters, DctQ component	"NA"	"NA"
NODE_654_length_2085_cov_2.394581_2	CDD,Pfam	cd13603,PF03480	IPR018389	PBP2_TRAP_Siap_TeaA_like,Bacterial extracellular solute-binding protein, family 7	GO:0006810,GO:0030288	"NA"
NODE_6541_length_275_cov_1.863636_1	Pfam	PF06480	IPR011546	FtsH Extracellular	GO:0004222,GO:0005524,GO:0008270,GO:0016021	"NA"
NODE_6542_length_275_cov_1.613636_1	Pfam	PF01509	IPR002501	TruB family pseudouridylate synthase (N terminal domain)	GO:0006396	"NA"
NODE_6543_length_275_cov_1.613636_1	Pfam,TIGRFAM	PF00238,TIGR01067	IPR000218,IPR005745	Ribosomal protein L14p/L23e,rplN_bact: ribosomal protein uL14	GO:0003735,GO:0005840,GO:0006412,GO:0015934	"NA"
NODE_6544_length_275_cov_1.613636_1	Pfam	PF14712	IPR028119	Snapin/Pallidin	"NA"	"NA"
NODE_6546_length_275_cov_1.609091_1	Pfam	PF00482	IPR018076	Type II secretion system (T2SS), protein F	"NA"	"NA"
NODE_655_length_2084_cov_2.269591_1	Pfam	PF13556	IPR025736	PucR C-terminal helix-turn-helix domain	"NA"	"NA"
NODE_655_length_2084_cov_2.269591_2	Pfam,CDD	PF00724,cd02803	IPR001155	NADH:flavin oxidoreductase / NADH oxidase family,OYE_like_FMN_family	GO:0010181,GO:0016491,GO:0055114	"NA"
NODE_6550_length_275_cov_1.290909_1	Pfam	PF02742	IPR001367	Iron dependent repressor, metal binding and dimerisation domain	GO:0046914,GO:0046983	"NA"
NODE_6551_length_275_cov_1.290909_1	Pfam	PF00395	IPR001119	S-layer homology domain	"NA"	"NA"
NODE_6555_length_275_cov_1.286364_1	Pfam	PF08818	IPR014922	Domain of unknown function (DU1801)	"NA"	"NA"
NODE_6558_length_275_cov_1.222727_1	Pfam	PF00346	IPR001135	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	GO:0016651,GO:0048038,GO:0051287,GO:0055114	"NA"
NODE_656_length_2081_cov_5.048865_1	CDD,Pfam	cd00761,PF00535	IPR001173	Glyco_tranf_GTA_type,Glycosyl transferase family 2	"NA"	"NA"
NODE_656_length_2081_cov_5.048865_2	TIGRFAM,Pfam	TIGR01444,PF05050	IPR006342	fkbM_fam: methyltransferase, FkbM family,Methyltransferase FkbM domain	"NA"	"NA"
NODE_6560_length_275_cov_1.213636_1	Pfam	PF00291	IPR001926	Pyridoxal-phosphate dependent enzyme	"NA"	"NA"
NODE_6561_length_275_cov_1.050000_1	Pfam	PF00183	IPR001404	Hsp90 protein	GO:0005524,GO:0006457,GO:0006950,GO:0051082	"NA"
NODE_6563_length_275_cov_0.968182_1	Pfam	PF03480	IPR018389	Bacterial extracellular solute-binding protein, family 7	GO:0006810,GO:0030288	"NA"
NODE_6565_length_275_cov_0.963636_1	Hamap,Pfam	MF_00342,PF03685	IPR005354	UPF0147 protein <locus_tag>.,Uncharacterised protein family (UPF0147)	"NA"	"NA"
NODE_6567_length_275_cov_0.963636_1	Pfam	PF07992	IPR023753	Pyridine nucleotide-disulphide oxidoreductase	GO:0016491,GO:0055114	"NA"
NODE_6568_length_275_cov_0.963636_1	Pfam,Pfam	PF10589,PF00037	IPR019575,IPR017896	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region,4Fe-4S binding domain	GO:0051539	"NA"
NODE_657_length_2079_cov_3.088933_1	Pfam	PF07478	IPR011095	D-ala D-ala ligase C-terminus	GO:0008716	KEGG:00473+6.3.2.4,KEGG:00550+6.3.2.4
NODE_657_length_2079_cov_3.088933_2	CDD,Pfam	cd00009,PF13177	"NA"	AAA,DNA polymerase III, delta subunit	"NA"	"NA"
NODE_6573_length_274_cov_1.826484_1	Pfam	PF04464	IPR007554	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	GO:0016020,GO:0047355	"NA"
NODE_6575_length_274_cov_1.621005_1	Pfam,CDD	PF00149,cd00838	IPR004843	Calcineurin-like phosphoesterase,MPP_superfamily	GO:0016787	"NA"
NODE_6577_length_274_cov_1.616438_1	Pfam,CDD	PF00563,cd01948	IPR001633	EAL domain,EAL	"NA"	"NA"
NODE_6578_length_274_cov_1.611872_1	TIGRFAM,Pfam	TIGR00449,PF01702	IPR002616	tgt_general: tRNA-guanine family transglycosylase,Queuine tRNA-ribosyltransferase	GO:0006400,GO:0016763	"NA"
NODE_658_length_2077_cov_2.681009_2	Pfam	PF12650	IPR017259	Domain of unknown function (DUF3784)	"NA"	"NA"
NODE_658_length_2077_cov_2.681009_3	Pfam,CDD	PF00753,cd07712	IPR001279	Metallo-beta-lactamase superfamily,MBLAC2-like_MBL-fold	"NA"	"NA"
NODE_6581_length_274_cov_1.310502_1	Pfam,CDD	PF10672,cd02440	IPR019614	S-adenosylmethionine-dependent methyltransferase,AdoMet_MTases	GO:0008168	"NA"
NODE_6582_length_274_cov_1.296804_1	Pfam	PF03833	IPR016033	DNA polymerase II large subunit DP2	"NA"	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_6583_length_274_cov_1.296804_1	Pfam	PF03780	IPR005531	Asp23 family, cell envelope-related function	"NA"	"NA"
NODE_6584_length_274_cov_1.278539_1	Pfam	PF02670	IPR013512	1-deoxy-D-xylulose 5-phosphate reductoisomerase	GO:0055114,GO:0070402	KEGG:00630+1.1.1.26,KEGG:00900+1.1.1.267
NODE_6585_length_274_cov_1.260274_1	Pfam	PF00483	IPR005835	Nucleotidyl transferase	GO:0009058,GO:0016779	"NA"
NODE_6586_length_274_cov_1.255708_1	Pfam	PF00448	IPR000897	SRP54-type protein, GTPase domain	GO:0005525,GO:0006614	"NA"
NODE_6587_length_274_cov_1.223744_1	Pfam	PF00006	IPR000194	ATP synthase alpha/beta family, nucleotide-binding domain	GO:0005524	KEGG:00190+3.6.3.14,KEGG:00195+3.6.3.14
NODE_6589_length_274_cov_0.972603_1	CDD,Pfam	cd07035,PF02776	IPR012001	TPP_PYR_POX_like,Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	GO:0030976	"NA"
NODE_659_length_2068_cov_2.302037_2	Pfam,CDD,Pfam	PF07702,cd07377,PF00392	IPR011663,IPR000524	UTRA domain,WHTH_GntR,Bacterial regulatory proteins, gntR family	GO:0003677,GO:0006355,GO:0003700	"NA"
NODE_659_length_2068_cov_2.302037_3	Pfam,CDD	PF13407,cd01536	IPR025997	Periplasmic binding protein domain,PBP1_ABC_sugar_binding_like	"NA"	"NA"
NODE_6596_length_273_cov_2.197248_1	Pfam	PF02347	IPR020581	Glycine cleavage system P-protein	GO:0004375,GO:0006546,GO:0055114	KEGG:00260+1.4.4.2
NODE_6597_length_273_cov_1.628440_1	Pfam	PF01513	IPR002504	ATP-NAD kinase	GO:0003951,GO:0006741,GO:0008152	KEGG:00760+2.7.1.23
NODE_66_length_37955_cov_473.057467_1	CDD,Pfam	cd11537,PF12643	IPR025984	NTP-PPase_RS21-C6_like,MazG-like family	GO:0009143,GO:0047429	KEGG:00240+3.6.1.12
NODE_66_length_37955_cov_473.057467_10	Pfam,CDD	PF00456,cd02012	IPR005474	Transketolase, thiamine diphosphate binding domain,TPP_TK	"NA"	KEGG:00730+2.2.1.7,KEGG:00900+2.2.1.7
NODE_66_length_37955_cov_473.057467_11	Pfam,Pfam,CDD	PF02782,PF00370,cd10427	IPR018485,IPR018484	FGGY family of carbohydrate kinases, C-terminal domain,FGGY family of carbohydrate kinases, N-terminal domain,FGGY_GK_1	GO:0005975,GO:0016773	"NA"
NODE_66_length_37955_cov_473.057467_12	Pfam,Pfam	PF00455,PF08220	IPR014036,IPR001034	DeoR C terminal sensor domain,DeoR-like helix-turn-helix domain	GO:0003700,GO:0005622,GO:0006355	"NA"
NODE_66_length_37955_cov_473.057467_13	Pfam	PF14101	IPR025454	Domain of unknown function (DUF4275)	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_14	CDD,Pfam	cd04301,PF00583	IPR000182	NAT_SF,Acetyltransferase (GNAT) family	GO:0008080	"NA"
NODE_66_length_37955_cov_473.057467_16	CDD,Pfam,Hamap	cd00464,PF01202,MF_00109	IPR000623,IPR031322	SK,Shikimate kinase,Shikimate kinase [aroK].	"NA"	KEGG:00400+2.7.1.71
